## pattern_ID, initial_length, broken_length, max_stress(GPa)
1	303.6	354.0	14.2135
2	303.6	330.6	8.0762
3	303.6	327.0	5.5527
4	303.6	323.4	3.6114
5	303.6	329.4	8.9028
6	303.6	323.4	5.6029
7	303.6	321.6	3.604
8	303.6	328.2	8.3817
9	303.6	324.6	5.5921
10	303.6	322.2	3.6468
11	303.6	326.4	7.865
12	303.6	325.2	5.9403
13	303.6	325.2	3.8905
14	303.6	329.4	7.8497
15	303.6	334.8	8.5645
16	303.6	326.4	6.0749
17	303.6	324.6	3.5309
18	303.6	329.4	6.9403
19	303.6	325.2	4.7086
20	303.6	327.0	2.7754
21	303.6	325.8	6.5352
22	303.6	323.4	4.3191
23	303.6	321.6	3.385
24	303.6	327.0	6.7471
25	303.6	326.4	5.8028
26	303.6	325.8	3.9336
27	303.6	327.6	5.4916
28	303.6	326.4	5.6804
29	303.6	330.6	5.8618
30	303.6	324.6	3.5613
31	303.6	333.0	5.4596
32	303.6	323.4	3.8474
33	303.6	326.4	2.0355
34	303.6	324.0	4.4988
35	303.6	326.4	2.6392
36	303.6	331.8	2.0513
37	303.6	327.0	4.4757
38	303.6	327.6	3.9763
39	303.6	325.2	3.5209
40	303.6	324.6	3.3169
41	303.6	327.0	3.392
42	303.6	327.0	3.4144
43	303.6	330.0	3.3346
44	303.6	324.0	3.3362
45	303.6	324.0	3.1916
46	303.6	324.6	1.6022
47	303.6	324.0	3.1893
48	303.6	325.8	1.7332
49	303.6	341.4	1.3104
50	303.6	325.8	2.3826
51	303.6	333.0	1.8382
52	303.6	339.6	1.6114
53	303.6	328.2	8.0801
54	303.6	328.2	6.7924
55	303.6	332.4	5.3507
56	303.6	323.4	3.6012
57	303.6	330.6	8.4487
58	303.6	328.2	5.7331
59	303.6	327.0	3.8502
60	303.6	326.4	6.967
61	303.6	326.4	4.5714
62	303.6	324.0	2.9959
63	303.6	325.2	6.5307
64	303.6	326.4	4.5954
65	303.6	325.8	3.7708
66	303.6	325.2	5.5069
67	303.6	325.2	4.3386
68	303.6	325.2	3.7889
69	303.6	329.4	3.3298
70	303.6	327.0	5.7323
71	303.6	330.0	5.8175
