## structure_ID, 8_pattern_parameters, symmetric_structure_ID
61, ((0.0, 0.0), (0.0, 0.0), (75.9418, 60.0), (126.5696, 100.0))
62, ((0.0, 0.0), (0.0, 0.0), (75.9418, 60.0), (126.5696, 140.0))
63, ((0.0, 0.0), (0.0, 0.0), (75.9418, 60.0), (177.1975, 60.0))
64, ((0.0, 0.0), (0.0, 0.0), (75.9418, 60.0), (177.1975, 100.0))
65, ((0.0, 0.0), (0.0, 0.0), (75.9418, 60.0), (177.1975, 140.0))
66, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (0.0, 0.0))
67, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (25.3139, 60.0))
68, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (25.3139, 100.0))
69, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (25.3139, 140.0))
70, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (75.9418, 60.0))
71, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (75.9418, 100.0))
72, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (75.9418, 140.0))
73, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (126.5696, 60.0))
74, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (126.5696, 100.0))
75, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (126.5696, 140.0))
76, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (177.1975, 60.0))
77, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (177.1975, 100.0))
78, ((0.0, 0.0), (0.0, 0.0), (75.9418, 100.0), (177.1975, 140.0))
79, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (0.0, 0.0))
80, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (25.3139, 60.0))
81, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (25.3139, 100.0))
82, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (25.3139, 140.0))
83, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (75.9418, 60.0))
84, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (75.9418, 100.0))
85, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (75.9418, 140.0))
86, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (126.5696, 60.0))
87, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (126.5696, 100.0))
88, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (126.5696, 140.0))
89, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (177.1975, 60.0))
90, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (177.1975, 100.0))
91, ((0.0, 0.0), (0.0, 0.0), (75.9418, 140.0), (177.1975, 140.0))
92, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (0.0, 0.0))
93, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (25.3139, 60.0))
94, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (25.3139, 100.0))
95, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (25.3139, 140.0))
96, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (75.9418, 60.0))
97, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (75.9418, 100.0))
98, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (75.9418, 140.0))
99, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (126.5696, 60.0))
100, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (126.5696, 100.0))
101, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (126.5696, 140.0))
102, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (177.1975, 60.0))
103, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (177.1975, 100.0))
104, ((0.0, 0.0), (0.0, 0.0), (126.5696, 60.0), (177.1975, 140.0))
105, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (0.0, 0.0))
106, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (25.3139, 60.0))
107, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (25.3139, 100.0))
108, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (25.3139, 140.0))
109, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (75.9418, 60.0))
110, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (75.9418, 100.0))
111, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (75.9418, 140.0))
112, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (126.5696, 60.0))
113, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (126.5696, 100.0))
114, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (126.5696, 140.0))
115, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (177.1975, 60.0))
116, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (177.1975, 100.0))
117, ((0.0, 0.0), (0.0, 0.0), (126.5696, 100.0), (177.1975, 140.0))
118, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (0.0, 0.0))
119, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (25.3139, 60.0))
120, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (25.3139, 100.0))
121, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (25.3139, 140.0))
122, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (75.9418, 60.0))
123, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (75.9418, 100.0))
124, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (75.9418, 140.0))
125, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (126.5696, 60.0))
126, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (126.5696, 100.0))
127, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (126.5696, 140.0))
128, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (177.1975, 60.0))
129, ((0.0, 0.0), (0.0, 0.0), (126.5696, 140.0), (177.1975, 100.0))
